Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20
sample1	90.7000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.9964	1.0000
sample2	256.6500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2979	0.0000	0.0000	0.0000	0.1777	0.0000	0.6204	0.9397	0.9584	1.0000
sample3	513.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9645	0.0000	0.0000	0.7326	0.3805	0.0000	0.8417	0.1577	0.4029	0.4762
sample4	89.5000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1489	0.0141	0.0000	0.4535	0.2280	0.0000	0.1197	0.9666	1.0000	0.9998
sample5	363.2000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.6028	0.0046	0.0000	0.3372	1.0000	0.0000	0.8096	0.8989	0.9704	0.9999
sample6	367.4300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.9078	0.0022	0.0000	0.4535	0.4058	0.0000	0.7129	0.6343	0.9010	0.5369
sample7	90.3410	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0780	0.3947	0.0000	0.0000	0.1330	0.2160	0.1609	0.9666	0.9765	0.2284
sample8	158.8000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2340	0.3083	0.6344	0.7326	0.0949	0.4630	0.2222	0.7120	0.7949	0.0944
sample9	338.7000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6879	0.2167	0.6344	0.7326	0.2851	0.4630	0.6410	0.1408	0.4899	0.2820
sample10	174.3000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5035	0.9796	0.0000	0.0000	0.2217	0.2160	0.7720	0.9054	0.9469	0.5620
sample11	328.1500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4752	1.0000	0.6344	0.7326	0.2280	0.2469	0.6977	0.6933	0.7545	0.5742
sample12	301.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6738	0.2697	1.0000	1.0000	0.2724	0.2685	0.8224	0.5307	0.7246	0.3801
sample13	299.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4468	0.3291	0.5539	0.6395	0.2762	0.4784	0.6582	0.7290	0.8845	0.4564
sample14	326.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6099	0.3081	0.6395	0.6395	0.3738	0.5525	0.6952	0.7237	0.8663	0.5356
sample15	327.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7447	0.2549	0.5539	0.6395	0.4727	0.4784	0.7449	0.7853	0.8792	0.5005
sample16	240.1500	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4397	0.1691	0.3122	0.3605	0.3713	0.3148	0.5709	0.8725	0.9592	0.4125
sample17	253.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.7660	0.4911	0.3605	0.3605	0.3966	0.6142	0.8847	0.8105	0.8909	0.2019
sample18	288.6400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.9929	0.2705	0.3122	0.3605	0.5056	0.5309	1.0000	0.8047	0.8918	0.1923
sample19	274.4000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.3688	0.2178	0.3525	0.4070	0.2344	0.2778	0.6643	0.8550	0.8765	0.6407
sample20	333.4000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.0180	0.6344	0.7326	0.3738	0.0309	0.9363	0.1212	0.3792	0.4913
sample21	478.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9716	0.1450	0.0000	0.7326	0.4372	0.2778	0.8694	0.0794	0.3419	0.4803
sample22	409.7000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9716	0.2489	0.0000	0.7326	0.4892	0.5309	0.9928	0.0000	0.3809	0.5573
sample23	446.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7730	0.1566	0.2316	1.0000	0.3332	0.2315	0.7408	0.2290	0.0000	0.2591
sample24	338.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9787	0.0087	0.2316	1.0000	0.3776	0.0154	0.8946	0.1002	0.4308	0.2326
sample25	386.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0059	0.2674	1.0000	0.3738	0.0185	0.9240	0.3480	0.6034	0.3840
sample26	438.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9504	0.2027	0.0806	0.7326	0.4283	0.2315	0.8208	0.5286	0.6342	0.5640
sample27	345.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8865	0.1339	0.0806	0.7326	0.5234	0.2315	0.8024	0.8853	0.9507	0.6671
sample28	399.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.9362	0.0227	0.2791	0.7326	0.3928	0.0340	0.7809	0.3140	0.6705	0.7343
sample29	256.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.3901	0.5163	0.2920	0.3372	0.3840	1.0000	0.6596	0.8701	0.9289	0.4304
sample30	415.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9220	0.0945	0.0930	0.7326	0.4752	0.2685	0.8121	0.7895	0.8738	0.6862
sample31	268.0300	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4894	0.3589	0.6344	0.7326	0.2280	0.5000	0.5399	0.4010	0.1776	0.0000
sample32	169.3000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.3688	0.2511	0.3525	0.4070	0.2787	0.2901	0.7983	0.8385	0.8650	0.4304
sample33	389.1500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6170	0.2758	0.7444	1.0000	0.2825	0.2778	0.6924	0.2777	0.1651	0.3572
sample34	360.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6170	0.3252	0.6892	0.7326	0.3269	0.4599	0.7200	0.4128	0.6258	0.3650
sample35	424.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7730	0.0913	0.6123	0.7326	0.3776	0.3889	0.7715	0.4257	0.6479	0.4341
sample36	401.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.8511	0.3127	0.3245	0.7326	0.5830	0.7099	0.8116	0.3558	0.8003	0.4998
